id,recording,vol,cont,quality,stage,clean,comments
vK2bLRNzllXNeyOMudnNSL5cfpG2,vowel-o,y,y,clean_audio,vowel-o,,
vK2bLRNzllXNeyOMudnNSL5cfpG2,vowel-e,y,y,clean_audio,vowel-e,,
vK2bLRNzllXNeyOMudnNSL5cfpG2,cough-shallow,y,y,clean_audio,cough-shallow,,
vK2bLRNzllXNeyOMudnNSL5cfpG2,breathing-deep,y,y,clean_audio,breathing-deep,,
vK2bLRNzllXNeyOMudnNSL5cfpG2,counting-normal,y,y,clean_audio,counting-normal,,
vK2bLRNzllXNeyOMudnNSL5cfpG2,breathing-shallow,y,y,clean_audio,breathing-shallow,,
vK2bLRNzllXNeyOMudnNSL5cfpG2,vowel-a,y,y,clean_audio,vowel-a,,
vK2bLRNzllXNeyOMudnNSL5cfpG2,cough-heavy,y,y,clean_audio,cough-heavy,,
vK2bLRNzllXNeyOMudnNSL5cfpG2,counting-fast,y,y,clean_audio,counting-fast,,
bjA2KpSxneNskrLBeqi4bqoTDQl2,vowel-o,y,y,clean_audio,vowel-o,,
bjA2KpSxneNskrLBeqi4bqoTDQl2,vowel-e,y,y,clean_audio,vowel-e,,
bjA2KpSxneNskrLBeqi4bqoTDQl2,cough-shallow,y,y,clean_audio,cough-shallow,,
bjA2KpSxneNskrLBeqi4bqoTDQl2,breathing-deep,y,y,clean_audio,breathing-deep,,
bjA2KpSxneNskrLBeqi4bqoTDQl2,counting-normal,y,y,clean_audio,counting-normal,,
bjA2KpSxneNskrLBeqi4bqoTDQl2,breathing-shallow,y,y,clean_audio,breathing-shallow,,
bjA2KpSxneNskrLBeqi4bqoTDQl2,vowel-a,y,y,clean_audio,vowel-a,,
bjA2KpSxneNskrLBeqi4bqoTDQl2,cough-heavy,y,y,clean_audio,cough-heavy,,
bjA2KpSxneNskrLBeqi4bqoTDQl2,counting-fast,y,y,clean_audio,counting-fast,,
FSzobvJqOXf0rI6X05cHqOiU9Mu2,vowel-o,y,y,,vowel-o,y,"Nasalized ending, sounds like om"
FSzobvJqOXf0rI6X05cHqOiU9Mu2,vowel-e,y,n,,vowel-e,y,
FSzobvJqOXf0rI6X05cHqOiU9Mu2,cough-shallow,y,y,,cough-shallow,y,
FSzobvJqOXf0rI6X05cHqOiU9Mu2,breathing-deep,y,y,,breathing-deep,y,inhale/exhale not audible
FSzobvJqOXf0rI6X05cHqOiU9Mu2,counting-normal,y,y,,counting-normal,y,
FSzobvJqOXf0rI6X05cHqOiU9Mu2,breathing-shallow,y,y,,breathing-shallow,y,fast paced breathing
FSzobvJqOXf0rI6X05cHqOiU9Mu2,vowel-a,y,y,,vowel-a,y,
FSzobvJqOXf0rI6X05cHqOiU9Mu2,cough-heavy,y,y,,cough-heavy,n,one cycle. sounds like mouth covered with something
FSzobvJqOXf0rI6X05cHqOiU9Mu2,counting-fast,y,y,,counting-fast,y,
EqDWckxbsETyHUeBLQ8jLtxlhir2,vowel-o,y,y,,vowel-o,y,Amplitude level modulated
EqDWckxbsETyHUeBLQ8jLtxlhir2,vowel-e,y,n,,vowel-e,y,a small portion at the beginning may have a discontinuity
EqDWckxbsETyHUeBLQ8jLtxlhir2,cough-shallow,y,y,,cough-shallow,y,
EqDWckxbsETyHUeBLQ8jLtxlhir2,breathing-deep,y,y,,breathing-deep,y,
EqDWckxbsETyHUeBLQ8jLtxlhir2,counting-normal,y,y,,counting-normal,y,
EqDWckxbsETyHUeBLQ8jLtxlhir2,breathing-shallow,y,y,,breathing-shallow,y,
EqDWckxbsETyHUeBLQ8jLtxlhir2,vowel-a,y,y,,vowel-a,y,Amplitude modelated
EqDWckxbsETyHUeBLQ8jLtxlhir2,cough-heavy,y,y,,cough-heavy,y,
EqDWckxbsETyHUeBLQ8jLtxlhir2,counting-fast,y,y,,counting-fast,y,
FGRDO4IBbAejR0WHD5YbkXTCasg2,vowel-o,y,n,,vowel-o,y,Short audio
FGRDO4IBbAejR0WHD5YbkXTCasg2,vowel-e,y,y,,vowel-e,y,"Mouse click noise at the end, and noise at the beginning (probably example stimulus played and not stopped before recording has started)"
FGRDO4IBbAejR0WHD5YbkXTCasg2,cough-shallow,y,y,,cough-shallow,y,Abruptly cut audio. Mouse click noise
FGRDO4IBbAejR0WHD5YbkXTCasg2,breathing-deep,y,y,,breathing-deep,y,Mouse click noise
FGRDO4IBbAejR0WHD5YbkXTCasg2,counting-normal,y,y,,counting-normal,y,
