id,recording,upload_date,vol,cont,quality,stage,annotator_name,start_1,end_1,start_2,end_2,comments,start_3,end_3,start_4,end_4,start_5,end_5,start_6,end_6,start_7,end_7,start_8,end_8,start_9,end_9,start_10,end_10,start_11,end_11,start_12,end_12,start_13,end_13,start_14,end_14,start_15,end_15,start_16,end_16,start_17,end_17,start_18,end_18,start_19,end_19,start_20,end_20,start_21,end_21
01OCEf1yB4czsq8ygRoT51s96Ba2,breathing-deep_v2,20200820,y,y,clean_audio,breathing-deep,ANANYA M,1.039,3.444,3.672,6.121,,6.327,8.483,8.634,10.801,10.964,12.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01OCEf1yB4czsq8ygRoT51s96Ba2,vowel-e_v2,20200820,y,y,clean_audio,vowel-e,ANANYA M,0.648,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01OCEf1yB4czsq8ygRoT51s96Ba2,vowel-a_v2,20200820,y,y,clean_audio,vowel-a,ANANYA M,0.806,8.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01OCEf1yB4czsq8ygRoT51s96Ba2,cough-shallow_v2,20200820,y,y,clean_audio,cough-shallow,ANANYA M,0.95,1.87,2.345,3.166,,3.717,4.557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01OCEf1yB4czsq8ygRoT51s96Ba2,cough-heavy_v2,20200820,y,y,clean_audio,cough-heavy,ANANYA M,0.481,1.473,2.151,3.173,The quality of audio in this user is not particularly bad; but I'm guessing the phone's been held too close during recording,3.964,5.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01OCEf1yB4czsq8ygRoT51s96Ba2,breathing-shallow_v2,20200820,y,y,clean_audio,breathing-shallow,ANANYA M,0.869,2.113,2.263,3.432,,3.663,4.866,5.029,6.355,6.511,7.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01OCEf1yB4czsq8ygRoT51s96Ba2,vowel-o_v2,20200820,y,y,noisy_audio,vowel-o,ANANYA M,0.607,11.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01OCEf1yB4czsq8ygRoT51s96Ba2,counting-fast_v2,20200820,y,y,clean_audio,counting-fast,ANANYA M,0.821,8.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01OCEf1yB4czsq8ygRoT51s96Ba2,counting-normal_v2,20200820,y,y,clean_audio,counting-normal,ANANYA M,0.958,14.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05acPS4aRGfvuOfku11Za8zve8i2,counting-normal_v2,20200820,y,y,clean_audio,counting-normal,Prashant K V,0.367,10.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05acPS4aRGfvuOfku11Za8zve8i2,counting-fast_v2,20200820,y,y,clean_audio,counting-fast,Prashant K V,0.525,4.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05acPS4aRGfvuOfku11Za8zve8i2,vowel-a_v2,20200820,y,y,clean_audio,vowel-a,Prashant K V,0.576,4.306,,,Volume reduces significantly after a few seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05acPS4aRGfvuOfku11Za8zve8i2,cough-shallow_v2,20200820,y,y,clean_audio,cough-shallow,Prashant K V,0.594,1.715,1.771,2.502,,2.573,3.502,3.573,4.882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05acPS4aRGfvuOfku11Za8zve8i2,cough-heavy_v2,20200820,y,y,clean_audio,cough-heavy,Prashant K V,0.526,1.954,2.58,3.948,,4.551,5.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05acPS4aRGfvuOfku11Za8zve8i2,breathing-deep_v2,20200820,y,y,clean_audio,breathing-deep,Prashant K V,0.068,4.712,4.962,7.358,,7.54,9.493,10.583,11.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05acPS4aRGfvuOfku11Za8zve8i2,breathing-shallow_v2,20200820,y,y,clean_audio,breathing-shallow,Prashant K V,0.419,2.103,2.254,3.165,,3.273,4.162,4.321,5.174,5.304,6.178,6.308,7.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05acPS4aRGfvuOfku11Za8zve8i2,vowel-o_v2,20200820,y,y,clean_audio,vowel-o,Prashant K V,0.87,7.1,,,Volume reduces significantly after a few seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05acPS4aRGfvuOfku11Za8zve8i2,vowel-e_v2,20200820,y,y,clean_audio,vowel-e,Prashant K V,0.551,6.413,,,Volume reduces significantly after a few seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05bieNLXPuaIWEVaX81EkbbjVrh1,vowel-a_v2,20200814,y,y,clean_audio,vowel-a,Rohit Kumar,1.688,4.38,7.6,7.999,,9.245,9.544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05bieNLXPuaIWEVaX81EkbbjVrh1,vowel-o_v2,20200814,y,y,clean_audio,vowel-o,Rohit Kumar,1.681,3.865,4.351,4.878,,5.089,5.501,6.039,6.683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05bieNLXPuaIWEVaX81EkbbjVrh1,breathing-shallow_v2,20200814,y,y,clean_audio,breathing-shallow,Rohit Kumar,2.822,3.308,3.391,3.93,,4.09,4.619,4.711,5.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05bieNLXPuaIWEVaX81EkbbjVrh1,breathing-deep_v2,20200814,y,y,clean_audio,breathing-deep,Rohit Kumar,0.948,2.174,2.453,3.431,,3.829,4.893,5.162,6.226,6.494,7.612,7.795,8.891,9.127,10.31,10.471,11.427,11.664,12.706,12.986,14.007,,,,,,,,,,,,,,,,,,,,,,
05bieNLXPuaIWEVaX81EkbbjVrh1,cough-heavy_v2,20200814,y,y,clean_audio,cough-heavy,Rohit Kumar,1.82,2.282,2.898,3.356,,4.119,4.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
